text,topic,type,Predicted
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,abortion,right,BIASED
"If I am to take Ivanka Trump’s latest ejaculation of blithe stupidity seriously—and for the purposes of this column, sure, why not?—then I can only conclude that she is troubled by her unearned status, and that she plans to donate her entire inheritance to Americans whose labor was stolen from them.",universal health care,,NEUTRAL
"Charen writes, “It isn’t that Abbott didn’t anticipate the coming weather….",immigration,,NEUTRAL
"Fashion and music mogul Kanye West unleashed a wild rant on Twitter late Monday, accusing his wife Kim Kardashian West of attempting to “lock” him “up with a doctor” after he spoke about abortion and his children during his presidential campaign event in Charleston, South Carolina.",gun control,right,NEUTRAL
"Trump could sit on live TV, peeing his pants and whimpering that the protesters are coming for him, and his base would stick by him and claim to see courage in the urine puddles below his chair, just so long as he keeps the racism and the lib-triggering coming. They know he’s a “Bunker Boy,” but will pretend they don’t see it until the bitter end.",trump-presidency,left,NEUTRAL
Trump is still sabotaging Obamacare — as COVID-19 looms over the uninsured,universal health care,left,NEUTRAL
"Navalny was poisoned with a military-grade nerve agent, according to German, French and Swedish laboratories.",vaccine,,BIASED
"As part of his plan to protect the commonwealth of Virginia from the spread of the Wuhan coronavirus, Gov. Ralph Northam determined that citizens should not be allowed to attend church or worship services, but are fine travel to an abortion clinic and undergo an elective procedure like surgical abortion.",abortion,right,NEUTRAL
"By the time Officer Joseph Ferrigno shot a Black man from behind, court records show, the Rochester cop had drawn at least 23 misconduct complaints in nearly nine years on the force",gun control,center,BIASED
"Outside the Dream City church where Trump was speaking, police forcibly dispersed hundreds of protesters marching in an adjacent “free speech zone.”",blm,,BIASED
President Donald Trump and his top allies on Tuesday took the opportunity—with a characteristic lack of self-awareness—to blast Democratic presidential candidate Mike Bloomberg as “racist”.,islam,,NEUTRAL
The gun safety group Giffords will launch a nationwide effort next week aimed at boosting Democratic candidates in key U.S. Senate races who support universal background checks for firearms purchases.,gun control,center,BIASED
"Never before have the freewheeling inclinations of some Electoral College members flipped an election, so the impact of the high court's decision may be just mathematical.",elections-2020,center,NEUTRAL
"How do the people at these rallies make sense of their claims that they are not ""racist""  or ""violent"" while they are carrying guns, waving Confederate flags, wearing other fascist insignia and in several cases displaying signs with Nazi slogans?",gun control,left,NEUTRAL
"For years, people opposed to vaccines have flooded Hotez’s social media accounts, calling him a shill for the pharmaceutical industry, though he’s never been paid by a drugmaker. ",vaccines,left,BIASED
"After witnessing the right-wing reaction to Greta Thunberg, the teenage climate activist from Sweden who spoke at the United Nations this week, there can be no doubt that modern-day conservatism, especially the Republican Party, functions primarily as a protection racket for the fragile egos of mediocre white men. ",environment,left,NEUTRAL
"""In the Bakhmut sector, the enemy is launching offensive action and is continuously attacking Bakhmut,"" said the regular evening statement by the General Staff of the Ukrainian Armed Forces.",international-politics-and-world-news,,BIASED
U.S. Education Secretary Betsy DeVos is withdrawing protections put in place by former President Barack Obama for students who have mismanaged or are defaulting on their college loans.,student-debt,right,BIASED
"Sargent has written leftist pieces at the Washington Post for years. In March 2016, Sargent called then-candidate Donald Trump a “nightmare nominee,” saying that not even white men like Trump.",white-nationalism,right,NEUTRAL
"Meanwhile, Britain’s police forces are notorious for focusing on matters of policing hate speech rather than violent crime, particularly with regard to Muslim grooming gangs.",islam,,NEUTRAL
"The wealthy are quite reasonably reluctant to give away more of their money than they have to and would simply move to more tax friendly jurisdictions, thus meaning the governments in high tax jurisdictions would have less to spend on worthy projects.",middle-class,right,BIASED
